year,date,category,country,city,event,line
"1967","12 февраля","ussr","СССР","Завидово","stay","Л.И. находился в «Завидово»."
"1967","26 марта","ussr","СССР","Заречье","stay","Л.И. находился на даче в Заречье, переговорил по телефону с тт. Полянеким Д. С. и Громыко А.А."
"1967","12 апреля","foreign","ГДР","Берлин","departure","Л.И. во главе делегации ЦК КПСС прибыл на Vll съезд СЕПГ в Берлин ГДР 21 ч. 17 м. моек[ о векого 1 времени."
"1967","22 апреля","foreign","Чехословакия","Карловы Вары","departure","В 223Q по местн[ому] времени Л.И. nоездом выехал в Карловы Вары ЧССР."
"1967","10 мая","foreign","Болгария",None,"departure","Демичев П.Н .. Карпова Е.Ф., Кузнецов В.В.) самолетом вылетел в НРБ."
"1967","21 мая","ussr","СССР","Завидово","stay","~I.!!J Л.И. возвратился из поездки в «Завидово»."
"1967","2 июля. воскресенье а","foreign","Франция","Париж","stay","С 1SJ!I до 05 4/VII ь Л.И. беседовал с тов. Косыгиным А. Н., возвратившимся из 2•неде.льной nоездки в Нью- Йорк, на Кубу. Париж. (Беседа соt.-тоялась на даче у "
"1967","22 июля","ussr","СССР","Ялта","stay","Л.И. - находился в Ялте - на отдыхе."
"1967","25 августа","ussr","СССР","Астрахань","stay","Л.И. на отдыхе в Астрахани."
"1967","28 августа","ussr","СССР","Ялта","stay","Л.И. на отдыхе в Ялте."
"1967","2 сентября","ussr","СССР","Завидово","departure","В 1400 Л.И. выехал в Завндово."
"1967","8 сентября","foreign","Венгрия",None,"stay","Л.И. - находился в ВНР во главе Партийно-nравительственн[ ой 1 делегации."
"1967","9 сентября","ussr","СССР","Завидово","departure","Л.И. в 21зо выехал в Завидово."
"1967","1 октября","ussr","СССР","Киев","stay","Л.И. находился в гор. Киеве."
"1967","2 октября","ussr","СССР","Завидово","stay","JJ.И. находился в Завидово."
"1967","14 октября","ussr","СССР","Волгоград","departure","В 1500 Л. И. выехал на Казанский вокзал, откуда поездом в 1510 направился в Волгоград­ на торжественное открытие монумента Победы на Мамаевом кургане."
"1967","17 октября","ussr","СССР","Завидово","stay","Л.И. находился в «Завндово>>."
"1967","5 ноября","ussr","СССР","Ленинград","departure","Вечером Л.И. отбыл nоездом из г. Ленинграда в г. Москву."
"1967","6 ноября","ussr","СССР","Ленинград","stay","В 950 Л.И. возвратился из поездки в г. Ленинград."
"1967","9 ноября","foreign","Чехословакия",None,"departure","После nереговоров Л.И. выехал в а[ эро ]n[ орт] Внуково-2 nравожать Парт(ийно-] прав[ ительственные] делегации Польши. Болгарии, Чехословакии, а позже с Киевско"
"1967","11 ноября","ussr","СССР","Завидово","stay","Л. И. вмеL'Те с тт. А. Н. Косыгиным и Подгорttым находился в Завидово."
"1967","8 декабря","foreign","Чехословакия","Прага","departure","Л.И. отбыл с визитом в Прагу в 1 Q!IO с Внуково-2."
"1967","17 декабря","ussr","СССР","Завидово","stay","Л.И. находился в Завидово, звонил в Приемную."
